Modalities,Best AUC,BestEpoch
"T1,T2",0.8094513416099319,14
"T1,T2star",0.7913078149920255,8
"T1,FLAIR",0.7811774128954746,10
"T1,MRA",0.7763955342902711,11
"T2,T2star",0.8120326899669623,15
"T2,FLAIR",0.7989292610145691,12
"T2,MRA",0.8159203980099502,17
"T2star,FLAIR",0.8016858917480035,19
"T2star,MRA",0.7820833333333334,16
"FLAIR,MRA",0.7648351648351648,20
"T1,T2,T2star",0.7992025518341308,12
"T1,T2,FLAIR",0.8033640368442131,16
"T1,T2,MRA",0.8044657097288677,15
"T1,T2star,FLAIR",0.8228867623604466,18
"T1,T2star,MRA",0.8033346566097658,19
"T1,FLAIR,MRA",0.8078149920255183,20
"T2,T2star,FLAIR",0.7933402886454529,19
"T2,T2star,MRA",0.7763060468942822,18
"T2,FLAIR,MRA",0.7932231404958677,17
"T2star,FLAIR,MRA",0.7809375,18
"T1,T2,T2star,FLAIR",0.8239234449760765,20
"T1,T2,T2star,MRA",0.7960301707026598,17
"T1,T2,FLAIR,MRA",0.8054226475279107,15
"T1,T2star,FLAIR,MRA",0.7946010321556173,19
"T2,T2star,FLAIR,MRA",0.7916083916083916,20
